"state","decision","correct","count","winning_prob"
"751","2,2",74,199,0.37
"752","2,2",25,55,0.45
"753","2,2",838,1761,0.48
"33","2,3",220,818,0.27
"331","2,3",74,160,0.46
"332","2,3",38,85,0.45
"333","2,3",20,39,0.51
"43","2,3",122,365,0.33
"431","2,3",61,154,0.4
"432","2,3",97,219,0.44
"433","2,3",31,71,0.44
"44","2,3",21,112,0.19
"441","2,3",11,48,0.23
"442","2,3",2,10,0.2
"443","2,3",16,28,0.57
"53","2,3",197,506,0.39
"531","2,3",185,436,0.42
"532","2,3",170,339,0.5
"533","2,3",80,159,0.5
"54","2,3",22,74,0.3
"541","2,3",11,82,0.13
"542","2,3",14,34,0.41
"543","2,3",193,410,0.47
"55","2,3",57,135,0.42
"551","2,3",18,43,0.42
"552","2,3",12,31,0.39
"553","2,3",60,128,0.47
"63","2,3",39,118,0.33
"631","2,3",15,36,0.42
"632","2,3",22,54,0.41
"633","2,3",7,20,0.35
"64","2,3",3,15,0.2
"641","2,3",7,21,0.33
"642","2,3",1,11,0.09
"643","2,3",11,28,0.39
"65","2,3",27,60,0.45
"651","2,3",7,21,0.33
"652","2,3",5,12,0.42
"653","2,3",35,70,0.5
"73","2,3",233,649,0.36
"731","2,3",49,146,0.34
"732","2,3",58,147,0.39
"733","2,3",58,119,0.49
"74","2,3",14,28,0.5
"741","2,3",8,49,0.16
"742","2,3",14,37,0.38
"743","2,3",114,362,0.31
"75","2,3",49,94,0.52
"751","2,3",70,156,0.45
"752","2,3",36,77,0.47
"753","2,3",841,1689,0.5
"44","2,4",15,95,0.16
"441","2,4",12,57,0.21
"442","2,4",9,17,0.53
"443","2,4",11,26,0.42
"54","2,4",44,107,0.41
"541","2,4",21,85,0.25
"542","2,4",8,20,0.4
"543","2,4",89,195,0.46
"55","2,4",19,53,0.36
"551","2,4",17,41,0.41
"552","2,4",13,32,0.41
"553","2,4",257,520,0.49
"64","2,4",3,17,0.18
"641","2,4",3,16,0.19
"642","2,4",8,40,0.2
"643","2,4",6,16,0.38
"65","2,4",14,36,0.39
"651","2,4",6,34,0.18
"652","2,4",7,13,0.54
"653","2,4",58,111,0.52
"74","2,4",11,28,0.39
"741","2,4",15,60,0.25
"742","2,4",25,61,0.41
"743","2,4",96,305,0.31
"75","2,4",41,102,0.4
"751","2,4",53,160,0.33
"752","2,4",47,95,0.49
"753","2,4",832,1709,0.49
"55","2,5",8,54,0.15
"551","2,5",11,53,0.21
"552","2,5",16,33,0.48
"553","2,5",73,145,0.5
"65","2,5",12,37,0.32
"651","2,5",10,31,0.32
"652","2,5",9,16,0.56
